Daily COVID-19 Deaths in All Settings (UK),,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of deaths,,,,,,,,,,,,,,,,,,,,
Date,Deaths,Total Deaths,7 Day Rolling Average,7 Day Rolling Sum,,,,,,,,,,,,,,,,,,,,
6/3/2020,1,1,,,,,,,,,,,,,,,,,,,,,,
7/3/2020,1,2,,,,,,,,,,,,,,,,,,,,,,
8/3/2020,0,2,,,,,,,,,,,,,,,,,,,,,,
9/3/2020,1,3,,,,,,,,,,,,,,,,,,,,,,
10/3/2020,4,7,,,,,,,,,,,,,,,,,,,,,,
11/3/2020,0,7,,,,,,,,,,,,,,,,,,,,,,
12/3/2020,2,9,1,9,,,,,,,,,,,,,,,,,,,,
13/3/2020,1,10,1,9,,,,,,,,,,,,,,,,,,,,
14/3/2020,18,28,4,26,,,,,,,,,,,,,,,,,,,,
15/3/2020,15,43,6,41,,,,,,,,,,,,,,,,,,,,
16/3/2020,22,65,9,62,,,,,,,,,,,,,,,,,,,,
17/3/2020,16,81,11,74,,,,,,,,,,,,,,,,,,,,
18/3/2020,34,115,15,108,,,,,,,,,,,,,,,,,,,,
19/3/2020,43,158,21,149,,,,,,,,,,,,,,,,,,,,
20/3/2020,36,194,26,184,,,,,,,,,,,,,,,,,,,,
21/3/2020,56,250,32,222,,,,,,,,,,,,,,,,,,,,
22/3/2020,35,285,35,242,,,,,,,,,,,,,,,,,,,,
23/3/2020,74,359,42,294,,,,,,,,,,,,,,,,,,,,
24/3/2020,149,508,61,427,,,,,,,,,,,,,,,,,,,,
25/3/2020,187,695,83,580,,,,,,,,,,,,,,,,,,,,
26/3/2020,183,878,103,720,,,,,,,,,,,,,,,,,,,,
27/3/2020,284,"1,162",138,968,,,,,,,,,,,,,,,,,,,,
28/3/2020,294,"1,456",172,"1,206",,,,,,,,,,,,,,,,,,,,
29/3/2020,214,"1,670",198,"1,385",,,,,,,,,,,,,,,,,,,,
30/3/2020,374,"2,044",241,"1,685",,,,,,,,,,,,,,,,,,,,
31/3/2020,382,"2,426",274,"1,918",,,,,,,,,,,,,,,,,,,,
1/4/2020,670,"3,096",343,"2,401",,,,,,,,,,,,,,,,,,,,
2/4/2020,652,"3,748",410,"2,870",,,,,,,,,,,,,,,,,,,,
3/4/2020,714,"4,462",471,"3,300",,,,,,,,,,,,,,,,,,,,
4/4/2020,760,"5,222",538,"3,766",,,,,,,,,,,,,,,,,,,,
5/4/2020,644,"5,866",599,"4,196",,,,,,,,,,,,,,,,,,,,
6/4/2020,568,"6,434",627,"4,390",,,,,,,,,,,,,,,,,,,,
7/4/2020,"1,038","7,472",721,"5,046",,,,,,,,,,,,,,,,,,,,
8/4/2020,"1,034","8,506",773,"5,410",,,,,,,,,,,,,,,,,,,,
9/4/2020,"1,110","9,616",838,"5,868",,,,,,,,,,,,,,,,,,,,
10/4/2020,"1,152","10,768",901,"6,306",,,,,,,,,,,,,,,,,,,,
11/4/2020,840,"11,608",912,"6,386",,,,,,,,,,,,,,,,,,,,
12/4/2020,686,"12,294",918,"6,428",,,,,,,,,,,,,,,,,,,,
13/4/2020,744,"13,038",943,"6,604",,,,,,,,,,,,,,,,,,,,
14/4/2020,"1,047","14,085",945,"6,613",,,,,,,,,,,,,,,,,,,,
15/4/2020,842,"14,927",917,"6,421",,,,,,,,,,,,,,,,,,,,
16/4/2020,"1,029","15,956",906,"6,340",,,,,,,,,,,,,,,,,,,,
17/4/2020,936,"16,892",875,"6,124",,,,,,,,,,,,,,,,,,,,
18/4/2020,"1,115","18,007",914,"6,399",,,,,,,,,,,,,,,,,,,,
